year,month,pre_Region1,pre_Region2,pre_Region3,pre_Region4,pre_Region5,pre_Region6,tmp_Region1,tmp_Region2,tmp_Region3,tmp_Region4,tmp_Region5,tmp_Region6,spi3_1,spi3_2,spi3_3,spi3_4,spi3_5,spi3_6,tmp3m_1,tmp3m_2,tmp3m_3,tmp3m_4,tmp3m_5,tmp3m_6
1950,1,204.5179566,105.6093521,263.6527178,320.3298219,251.934051,115.8085008,25.51304001,24.26198115,25.93210279,25.4449202,25.18504997,13.38858197,-1.731070156,0.891438686,1.032632013,-0.043320705,-0.03705867,-0.488990416,25.86784499,24.76708674,26.55846099,25.80365497,25.45757146,13.74741525
1950,2,267.257952,94.71214305,249.2235114,303.4733943,203.3077285,128.2788901,25.23655714,24.64950865,25.69910024,25.30757777,25.40056319,13.35180708,-0.880495101,0.940809715,0.68637548,0.102279025,-0.914892555,-0.478440395,25.60616346,24.58263205,26.13546768,25.52947887,25.28112089,13.48291268
1950,3,309.2705666,102.5711296,312.3802428,369.1871711,253.4506599,139.7048311,25.28427099,24.96798926,25.7818144,25.14169485,24.89373351,12.79512227,0.276271012,0.149515117,0.757832283,1.557292133,0.322792687,-0.143525616,25.34462272,24.62649302,25.80433914,25.29806427,25.15978222,13.17850377
1950,4,310.7439785,187.1242532,286.395702,230.5281259,128.7814669,72.04733415,25.2899667,25.07576074,26.13613537,25.48507875,24.82645829,12.66812284,0.633199741,-0.562622596,0.136661354,1.37413725,0.455291488,-0.287859518,25.27026494,24.89775288,25.87235,25.31145046,25.04025166,12.93835073
1950,5,341.9171708,350.1551577,312.242335,122.5534881,49.98618816,41.02313461,24.88567237,24.53193888,26.10039649,25.19766874,23.96302725,12.01429541,0.418569326,-0.267742415,0.070599705,1.224867998,0.85390248,-0.399678774,25.15330335,24.85856296,26.00611542,25.27481411,24.56107302,12.49251351
1950,6,307.2223493,419.2403957,226.4705144,67.02547957,19.5459531,44.25848417,24.29565148,23.87166768,26.16776354,24.70317325,22.97166385,11.05035618,0.542503162,0.255287819,-0.3336906,0.022029897,0.080451842,-0.519229584,24.82376351,24.49312243,26.13476513,25.12864025,23.92038313,11.91092481
1950,7,341.7618393,400.5092435,188.4455366,44.6814183,13.0856501,58.00828536,23.9553654,23.62764193,25.96593986,24.50736251,22.68680952,10.66739352,1.351089757,0.95070628,0.190595016,0.028922427,-0.369835068,0.903912256,24.37889641,24.01041616,26.0780333,24.80273483,23.20716687,11.24401503
1950,8,176.5459404,379.6864758,126.5541001,32.25505531,8.744473392,22.1292448,24.73608697,24.04030362,26.55052981,25.4337178,24.25547853,11.85394708,0.97760591,1.36144993,0.511218991,-0.462583019,-1.042940496,1.140985424,24.32903461,23.84653774,26.22807774,24.88141785,23.30465063,11.19056559
1950,9,173.7923126,212.8043822,44.75776209,88.62802882,46.04316787,47.32533114,25.71551544,24.97060834,26.95896137,26.04783597,25.3602547,13.02848988,0.321423563,0.808408009,0.119395003,-1.250426928,-0.655617238,0.727075827,24.8023226,24.2128513,26.49181035,25.32963876,24.10084758,11.84994349
1950,10,204.9160263,180.9140431,60.39429592,189.446988,134.8301604,72.08669703,25.77354374,24.94077473,27.0806717,26.15167588,25.47219284,13.22217416,-1.034622892,0.362649522,-0.280869446,-0.769791906,0.159705174,-0.367756245,25.40838205,24.65056223,26.86338763,25.87774322,25.02930869,12.70153704
