year,month,tsa,nino3.4,nao,tna
2017,7,0.35,0.25,1.28,0.6
2017,8,0.59,-0.16,-1.53,0.67
2017,9,0.27,-0.43,-0.45,0.52
2017,10,0.42,-0.56,0.71,0.45
2017,11,0.2,-0.97,-0.14,0.53
2017,12,0.17,-0.98,0.73,0.54
2018,1,0.62,-0.98,1.17,0.28
2018,2,-0.01,-0.78,1.34,-0.09
2018,3,0.17,-0.8,-1.38,0.02
2018,4,0.28,-0.51,1.2,-0.17
2018,5,0.28,-0.2,2.02,-0.4
2018,6,0.46,0.04,1.41,-0.48
2018,7,0.38,0.12,1.42,-0.21
2018,8,0.41,0.09,2.4,0.01
2018,9,0.36,0.47,1.78,0.33
2018,10,0.53,0.9,1.53,0.29
2018,11,0.39,0.9,-0.25,-0.01
2018,12,0.66,0.89,0.48,-0.04
2019,1,0.75,0.65,0.18,0.08
2019,2,0.68,0.71,-0.11,0.14
2019,3,1.02,0.81,0.89,0.01
2019,4,0.65,0.62,0.36,-0.02
2019,5,0.65,0.55,-2.38,0.12
2019,6,0.58,0.45,-0.79,0.3
2019,7,0.5,0.35,-1.39,0.37
2019,8,0.41,0.04,-1.62,0.42
2019,9,0.48,0.03,-0.01,0.57
2019,10,0.47,0.48,-1.03,0.44
2019,11,1.06,0.52,0.16,0.26
2019,12,1.06,0.52,1.02,0.25
2020,1,1.28,0.6,1.05,0.25
2020,2,0.84,0.37,0.98,0.5
2020,3,0.66,0.48,0.66,0.73
2020,4,0.72,0.36,-1.26,0.62
2020,5,0.88,-0.27,-0.33,0.52
2020,6,0.6,-0.34,0.16,0.72
2020,7,0.55,-0.3,-1.19,0.65
2020,8,0.5,-0.59,0.03,0.59
2020,9,0.24,-0.83,1.11,0.52
2020,10,0.39,-1.26,-0.2,0.61
2020,11,0.12,-1.42,2.54,0.39
2020,12,-0.11,-1.15,-0.37,0.46
2021,1,0.21,-1,-1.8,0.52
2021,2,-0.06,-1,-0.29,0.41
2021,3,0.14,-0.8,0.36,0.14
2021,4,0.37,-0.72,-1.69,0.32
2021,5,0.76,-0.46,-1.1,0.24
2021,6,0.89,-0.28,1.08,0.14
2021,7,1.11,-0.39,0.06,0.25
2021,8,0.92,-0.53,-0.49,0.26
2021,9,0.58,-0.55,-0.06,0.54
2021,10,0.65,-0.94,-1.98,0.46
2021,11,0.5,-0.94,-0.33,0.42
2021,12,0.26,-1.06,0.18,0.46
2022,1,0.47,-0.94,0.74,0.61
2022,2,0.73,-0.89,1.46,0.57
2022,3,0.57,-0.97,0.4,0.08
2022,4,0.46,-1.11,-0.54,0.04
2022,5,0.36,-1.11,0.71,0.34
2022,6,0.61,-0.75,0.19,0.48
2022,7,0.34,-0.69,-0.06,0.32
2022,8,0.38,-0.97,1.76,0.47
2022,9,0.35,-1.07,-1.42,0.62
2022,10,0.52,-0.99,-0.27,0.5
2022,11,0.51,-0.9,0.59,0.33
2022,12,0.6,-0.85,-0.22,0.47
2023,1,0.82,-0.72,0.95,0.47
2023,2,0.55,-0.46,0.6,0.22
2023,3,0.48,-0.11,-1.57,0.64
2023,4,0.5,0.14,-0.83,0.78
2023,5,0.79,0.46,0.41,1.04
2023,6,0.57,0.84,-0.28,1.41
2023,7,0.54,1.02,-2.14,1.41
2023,8,0.5,1.35,-1.62,1.36
2023,9,0.4,1.6,-0.28,1.43
2023,10,0.41,1.72,-1.7,1.32
2023,11,0.91,2.02,-0.47,1.09
2023,12,1.31,2.03,1.7,1.17
